Model downstream of nozzle exit plane,,Model moved forward,
X,Y,X,Y
3.58974358974359,0.000137936046511628,3.56125356125356,0.000137354651162791
4.15954415954416,0.000128633720930233,3.8366571699905,0.000137790697674419
4.46343779677113,0.000125145348837209,4.15954415954416,0.000135029069767442
4.7673314339981,0.00012281976744186,4.44444444444445,0.000126017441860465
5.0332383665717,0.00011671511627907,4.75783475783476,0.000125145348837209
5.3656220322887,0.000113081395348837,5.02374169040836,0.000119186046511628
5.66001899335233,0.000111773255813953,5.35612535612536,0.000117005813953488
5.9639126305793,0.000109447674418605,5.64102564102564,0.000114098837209302
6.27730294396961,0.000106540697674419,5.95441595441595,0.000113662790697674
6.52421652421652,0.00010406976744186,6.28679962013295,0.000109156976744186
6.81861348528015,0.000101744186046512,6.57169990503324,0.00010625
7.13200379867047,9.89825581395349E-05,6.83760683760684,0.000104505813953488
7.44539411206078,9.46220930232558E-05,7.40740740740741,9.91279069767442E-05
7.70180436847104,9.15697674418605E-05,7.71130104463438,0.000100436046511628
8.00569800569801,8.92441860465116E-05,8.00569800569801,9.43313953488372E-05
8.31908831908832,9.08430232558139E-05,8.30009496676163,9.44767441860465E-05
8.58499525166192,8.64825581395349E-05,8.58499525166192,9.04069767441861E-05
8.8698955365622,8.61918604651163E-05,8.88888888888889,9.02616279069767E-05
9.21177587844255,8.21220930232558E-05,9.21177587844255,8.66279069767442E-05
9.49667616334283,8.2703488372093E-05,9.44919278252612,8.82267441860465E-05
9.79107312440646,7.95058139534884E-05,9.8005698005698,8.61918604651163E-05
10.0569800569801,7.84883720930233E-05,10.0474833808167,8.4593023255814E-05
10.3418803418803,7.61627906976744E-05,10.3513770180437,8.16860465116279E-05
10.6172839506173,7.63081395348837E-05,,
10.9781576448243,7.38372093023256E-05,,
11.2915479582146,7.36918604651163E-05,,
11.5669515669516,7.0203488372093E-05,,
11.8423551756885,6.93313953488372E-05,,
12.1462488129155,7.09302325581396E-05,,
12.4501424501425,6.91860465116279E-05,,
12.7540360873694,6.7296511627907E-05,,
13.019943019943,6.56976744186046E-05,,
13.3143399810066,6.33720930232558E-05,,
13.6087369420703,6.35174418604651E-05,,
13.9031339031339,6.29360465116279E-05,,
14.2260208926876,6.16279069767442E-05,,
14.5489078822412,6.09011627906977E-05,,
14.8812915479582,5.94476744186046E-05,,
16.0018993352327,5.53779069767442E-05,,
16.3342830009497,5.68313953488372E-05,,
16.6001899335233,5.53779069767442E-05,,
16.8471035137702,0.00005625,,
17.1130104463438,5.72674418604651E-05,,
17.369420702754,5.50872093023256E-05,,
17.616334283001,5.59593023255814E-05,,
17.8917378917379,5.69767441860465E-05,,
18.1956315289649,0.00005625,,
18.4235517568851,5.66860465116279E-05,,
18.6609686609687,5.36337209302326E-05,,
18.945868945869,5.53779069767442E-05,,
19.1737891737892,5.20348837209302E-05,,
19.4586894586895,5.04360465116279E-05,,
19.7340930674264,5.10174418604651E-05,,
20.0189933523267,5.04360465116279E-05,,
20.2374169040836,4.88372093023256E-05,,
