  0.000000000e+00   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  2.040816327e-02   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  4.081632653e-02   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  6.122448980e-02   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  8.163265306e-02   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  1.020408163e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  1.224489796e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  1.428571429e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  1.632653061e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  1.836734694e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  2.040816327e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  2.244897959e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  2.448979592e-01   1.000000000e+00   1.000000000e+00   0.000000000e+00   2.500000000e+00   1.183215957e+00
  2.653061224e-01   9.931543607e-01   9.904292446e-01   8.122140721e-03   2.493140250e+00   1.181591528e+00
  2.857142857e-01   9.237093925e-01   8.948484775e-01   9.315615433e-02   2.421888542e+00   1.164584726e+00
  3.061224490e-01   8.582045931e-01   8.072855304e-01   1.781901679e-01   2.351669803e+00   1.147577923e+00
  3.265306122e-01   7.964698645e-01   7.271718991e-01   2.632241815e-01   2.282484032e+00   1.130571120e+00
  3.469387755e-01   7.383400759e-01   6.539717957e-01   3.482581951e-01   2.214331231e+00   1.113564318e+00
  3.673469388e-01   6.836549906e-01   5.871807155e-01   4.332922087e-01   2.147211399e+00   1.096557515e+00
  3.877551020e-01   6.322591920e-01   5.263240470e-01   5.183262224e-01   2.081124536e+00   1.079550712e+00
  4.081632653e-01   5.840020101e-01   4.709557230e-01   6.033602360e-01   2.016070642e+00   1.062543909e+00
  4.285714286e-01   5.387374480e-01   4.206569132e-01   6.883942496e-01   1.952049717e+00   1.045537107e+00
  4.489795918e-01   4.963241081e-01   3.750347575e-01   7.734282632e-01   1.889061761e+00   1.028530304e+00
  4.693877551e-01   4.566251185e-01   3.337211389e-01   8.584622768e-01   1.827106774e+00   1.011523501e+00
  4.897959184e-01   4.263194282e-01   3.031301781e-01   9.274526200e-01   1.777600069e+00   9.977254326e-01
  5.102040816e-01   4.263194282e-01   3.031301781e-01   9.274526200e-01   1.777600069e+00   9.977254326e-01
  5.306122449e-01   4.263194282e-01   3.031301781e-01   9.274526200e-01   1.777600069e+00   9.977254326e-01
  5.510204082e-01   4.263194282e-01   3.031301781e-01   9.274526200e-01   1.777600069e+00   9.977254326e-01
  5.714285714e-01   4.263194282e-01   3.031301781e-01   9.274526200e-01   1.777600069e+00   9.977254326e-01
  5.918367347e-01   4.263194282e-01   3.031301781e-01   9.274526200e-01   1.777600069e+00   9.977254326e-01
  6.122448980e-01   4.263194282e-01   3.031301781e-01   9.274526200e-01   1.777600069e+00   9.977254326e-01
  6.326530612e-01   4.263194282e-01   3.031301781e-01   9.274526200e-01   1.777600069e+00   9.977254326e-01
  6.530612245e-01   4.263194282e-01   3.031301781e-01   9.274526200e-01   1.777600069e+00   9.977254326e-01
  6.734693878e-01   4.263194282e-01   3.031301781e-01   9.274526200e-01   1.777600069e+00   9.977254326e-01
  6.938775510e-01   2.655737117e-01   3.031301781e-01   9.274526200e-01   2.853540888e+00   1.264113483e+00
  7.142857143e-01   2.655737117e-01   3.031301781e-01   9.274526200e-01   2.853540888e+00   1.264113483e+00
  7.346938776e-01   2.655737117e-01   3.031301781e-01   9.274526200e-01   2.853540888e+00   1.264113483e+00
  7.551020408e-01   2.655737117e-01   3.031301781e-01   9.274526200e-01   2.853540888e+00   1.264113483e+00
  7.755102041e-01   2.655737117e-01   3.031301781e-01   9.274526200e-01   2.853540888e+00   1.264113483e+00
  7.959183673e-01   2.655737117e-01   3.031301781e-01   9.274526200e-01   2.853540888e+00   1.264113483e+00
  8.163265306e-01   2.655737117e-01   3.031301781e-01   9.274526200e-01   2.853540888e+00   1.264113483e+00
  8.367346939e-01   2.655737117e-01   3.031301781e-01   9.274526200e-01   2.853540888e+00   1.264113483e+00
  8.571428571e-01   1.250000000e-01   1.000000000e-01   0.000000000e+00   2.000000000e+00   1.058300524e+00
  8.775510204e-01   1.250000000e-01   1.000000000e-01   0.000000000e+00   2.000000000e+00   1.058300524e+00
  8.979591837e-01   1.250000000e-01   1.000000000e-01   0.000000000e+00   2.000000000e+00   1.058300524e+00
  9.183673469e-01   1.250000000e-01   1.000000000e-01   0.000000000e+00   2.000000000e+00   1.058300524e+00
  9.387755102e-01   1.250000000e-01   1.000000000e-01   0.000000000e+00   2.000000000e+00   1.058300524e+00
  9.591836735e-01   1.250000000e-01   1.000000000e-01   0.000000000e+00   2.000000000e+00   1.058300524e+00
  9.795918367e-01   1.250000000e-01   1.000000000e-01   0.000000000e+00   2.000000000e+00   1.058300524e+00
  1.000000000e+00   1.250000000e-01   1.000000000e-01   0.000000000e+00   2.000000000e+00   1.058300524e+00
