y/D,T,rmsT,O2,rmsO2,N2,rmsN2,H2O,rmsH2O,H2,rmsH2,OH,rmsOH,f,rmsf
-10.76,330.5,37.8,0.2313,0.0117,0.7352,0.0352,0.0313,0.0048,0,0,0,0,0,0
-10.22,330.8,74.5,0.2333,0.0145,0.7372,0.037,0.0272,0.0084,0,0,0,0,0,0
-9.69,340.2,88.3,0.2328,0.0145,0.7368,0.0368,0.0282,0.0087,0,0,0,0,0,0
-9.15,351,95.7,0.2317,0.0142,0.7361,0.037,0.03,0.01,0,0,0,0,0,0
-8.61,377.1,130.5,0.2297,0.016,0.7366,0.0375,0.0315,0.0126,0,0,0,0,0,0
-8.07,424.3,166.9,0.227,0.0176,0.7351,0.0383,0.0357,0.0144,0,0,0,0,0,0
-7.53,502.6,218.3,0.2215,0.0197,0.7343,0.0392,0.0419,0.0176,0.0001,0.0013,0,0.0001,0,0
-7,567.5,232.8,0.2163,0.0209,0.7331,0.0407,0.0484,0.0202,0,0,0,0,0,0
-6.46,653.9,234.8,0.211,0.0216,0.7312,0.0417,0.0556,0.024,0,0,0,0,0,0
-5.92,736.4,229.1,0.2046,0.0216,0.7272,0.0428,0.0659,0.0277,0,0,0,0,0,0
-5.38,819.1,208.1,0.1996,0.0196,0.7212,0.0432,0.077,0.03,0,0,0,0,0,0
-4.84,915.6,189.4,0.1919,0.0204,0.7135,0.045,0.0924,0.0335,0,0,0,0.0004,0,0
-4.31,985.9,165.8,0.1864,0.0177,0.7006,0.0479,0.1108,0.0396,0,0,0,0,0,0
-3.77,1102.4,158.5,0.1756,0.0187,0.6741,0.052,0.148,0.049,0,0,0,0.0002,0.00001,0.00016
3.23,1201,156.9,0.1642,0.0198,0.6503,0.056,0.1831,0.0568,0,0,0.0001,0.0004,0.00016,0.00074
-2.69,1307.7,164.4,0.1517,0.0206,0.6246,0.0562,0.2206,0.0567,0.0005,0.0108,0.0004,0.0007,0.00054,0.00161
-2.15,1402.5,165.8,0.1426,0.0209,0.585,0.0579,0.2606,0.0581,0,0,0.0009,0.0012,0.00096,0.00188
-1.61,1510,181.6,0.1291,0.0311,0.5455,0.0693,0.3005,0.0671,0.0118,0.0611,0.0025,0.0033,0.00819,0.0109
-1.08,1543,225.7,0.1156,0.0448,0.4692,0.082,0.3119,0.0797,0.098,0.1644,0.0032,0.0042,0.02374,0.02774
-0.54,1702.9,251.5,0.083,0.0516,0.3791,0.0835,0.3166,0.1047,0.216,0.193,0.0048,0.0063,0.04577,0.03445
0,1759.6,363.9,0.0507,0.0583,0.3168,0.0913,0.3618,0.1117,0.2619,0.1631,0.0069,0.0079,0.05969,0.02886
0.54,1954.1,397.6,0.0462,0.056,0.3453,0.0837,0.4304,0.1169,0.1618,0.1326,0.0158,0.0117,0.04728,0.01989
1.08,2001.7,350.7,0.042,0.0537,0.3965,0.0891,0.4738,0.0932,0.0631,0.0908,0.0225,0.0138,0.03497,0.01488
1.61,1945.5,304.3,0.0649,0.0477,0.4585,0.0855,0.4408,0.0925,0.0166,0.0456,0.0187,0.014,0.02344,0.01242
2.15,1797.9,271.9,0.1009,0.0439,0.5126,0.0802,0.3725,0.0902,0.0023,0.0163,0.0097,0.01,0.01382,0.00956
2.69,1689.2,207.8,0.1266,0.0333,0.5441,0.0579,0.3243,0.0647,0.0001,0.005,0.0045,0.0053,0.00846,0.00587
3.23,1615.2,219.5,0.1407,0.0341,0.5822,0.0603,0.298,0.0657,0,0,0.0027,0.0028,0.0063,0.00515
3.77,1537.3,198.9,0.1475,0.0271,0.6202,0.0485,0.2387,0.0543,0,0,0.0018,0.0019,0.00085,0.00174
4.31,1422.5,235,0.1543,0.0272,0.6423,0.0454,0.2001,0.052,0,0,0.0011,0.0028,0.00021,0.00088
4.84,1312.1,177.8,0.1674,0.0212,0.6635,0.0441,0.1681,0.0472,0,0,0.0004,0.0021,0.00002,0.00027
5.38,1198.9,156.5,0.1782,0.019,0.6843,0.0431,0.1352,0.0417,0,0,0.0001,0.0003,0,0
5.92,1103.3,150.5,0.1856,0.017,0.7043,0.0429,0.1094,0.0357,0.0002,0.0077,0,0.0003,0.00002,0.00089
6.46,1030.4,141.1,0.1896,0.0167,0.7184,0.042,0.0898,0.0308,0,0,0,0,0,0
7,946.5,164.7,0.1941,0.0178,0.7339,0.0423,0.0696,0.0233,0.0001,0.0021,0,0.0004,0,0
7.53,851.2,202,0.198,0.0172,0.7441,0.0424,0.0557,0.0221,0,0,0,0,0,0
8.07,779.7,227.5,0.1981,0.0181,0.754,0.0415,0.0457,0.0181,0,0,0,0,0,0
8.61,697.8,247.1,0.2026,0.02,0.7568,0.0407,0.0383,0.0147,0,0,0,0,0,0
9.15,590.5,245.6,0.2098,0.0206,0.7568,0.0403,0.0312,0.0113,0,0,0,0,0,0
9.69,530.9,236.3,0.2098,0.02,0.7602,0.0403,0.0278,0.0093,0,0,0,0,0,0
10.22,450.7,208.7,0.2175,0.0194,0.7559,0.0395,0.0244,0.0067,0,0,0,0,0,0
10.76,436.8,200.4,0.2146,0.0178,0.7601,0.0389,0.0232,0.0054,0,0,0,0,0,0
11.3,418,184,0.2128,0.0172,0.7625,0.0388,0.0225,0.0049,0,0,0,0,0,0
11.84,414.2,194.8,0.2138,0.0187,0.7615,0.0389,0.0224,0.0063,0.0001,0.0018,0,0.0005,0,0
12.38,425.2,191.9,0.2104,0.0176,0.7651,0.0389,0.0222,0.0044,0,0,0,0,0,0
