time, kinetic_energy((0)(199)), Density((0)(199))
0.188, 0.0678197, 0.5625
0.189, 0.0681835, 0.5625
0.19, 0.0685458, 0.5625
0.191, 0.0689105, 0.5625
0.192, 0.0692738, 0.5625
0.193, 0.0696365, 0.5625
0.194, 0.0700011, 0.5625
0.195, 0.070364, 0.5625
0.196, 0.0707273, 0.5625
0.197, 0.0710919, 0.5625
0.198, 0.0714544, 0.5625
0.199, 0.0718182, 0.5625
0.2, 0.0721826, 0.5625
