time, temperature((0)(15))
1e-07, 1000
2e-07, 1000
3e-07, 1000
4e-07, 1000
5e-07, 1000
6e-07, 1000
7e-07, 1000
8e-07, 1000
9e-07, 1000
1e-06, 1000
1.1e-06, 1000
1.2e-06, 1000
1.3e-06, 1000
1.4e-06, 1000
1.5e-06, 1000
1.6e-06, 1000
1.7e-06, 1000
1.8e-06, 1000
1.9e-06, 1000
2e-06, 1000
2.1e-06, 1000
2.2e-06, 1000
2.3e-06, 1000
2.4e-06, 1000
2.5e-06, 1000
2.6e-06, 1000
2.7e-06, 1000
2.8e-06, 1000
2.9e-06, 1000
3e-06, 1000
3.1e-06, 1000
3.2e-06, 1000
3.3e-06, 1000
3.4e-06, 1000
3.5e-06, 1000
3.6e-06, 1000
3.7e-06, 1000
3.8e-06, 1000
3.9e-06, 1000
4e-06, 1000
4.1e-06, 1000
4.2e-06, 1000
4.3e-06, 1000
4.4e-06, 1000
4.5e-06, 1000
4.6e-06, 1000
4.7e-06, 1000
4.8e-06, 1000
4.9e-06, 1000
5e-06, 1000
5.1e-06, 1000
5.2e-06, 1000
5.3e-06, 1000
5.4e-06, 1000
5.5e-06, 1000
5.6e-06, 1000
5.7e-06, 1000
5.8e-06, 1000
5.9e-06, 1000
6e-06, 1000
6.1e-06, 1000
6.2e-06, 1000
6.3e-06, 1000
6.4e-06, 1000
6.5e-06, 1000
6.6e-06, 1000
6.7e-06, 1000
6.8e-06, 1000
6.9e-06, 1000
7e-06, 1000
7.1e-06, 1000
7.2e-06, 1000
7.3e-06, 1000
7.4e-06, 1000
7.5e-06, 1000
7.6e-06, 1000
7.7e-06, 1000
7.8e-06, 1000
7.9e-06, 1000
8e-06, 1000
8.1e-06, 1000
8.2e-06, 1000
8.3e-06, 1000
8.4e-06, 1000
8.5e-06, 1000
8.6e-06, 1000
8.7e-06, 1000
8.8e-06, 1000
8.9e-06, 1000
9e-06, 1000
9.1e-06, 1000
9.2e-06, 1000
9.3e-06, 1000
9.4e-06, 1000
9.5e-06, 1000
9.6e-06, 1000
9.7e-06, 1000
9.8e-06, 1000
9.9e-06, 1000
1e-05, 1000
1.01e-05, 1000
1.02e-05, 1000
1.03e-05, 1000
1.04e-05, 1000
1.05e-05, 1000
1.06e-05, 1000
1.07e-05, 1000
1.08e-05, 1000
1.09e-05, 1000
1.1e-05, 1000
1.11e-05, 1000
1.12e-05, 1000
1.13e-05, 1000
1.14e-05, 1000
1.15e-05, 1000
1.16e-05, 1000
1.17e-05, 1000
1.18e-05, 1000
1.19e-05, 1000
1.2e-05, 1000
1.21e-05, 1000
1.22e-05, 1000
1.23e-05, 1000
1.24e-05, 1000
1.25e-05, 1000
1.26e-05, 1000
1.27e-05, 1000
1.28e-05, 1000
1.29e-05, 1000
1.3e-05, 1000
1.31e-05, 1000
1.32e-05, 1000
1.33e-05, 1000
1.34e-05, 1000
1.35e-05, 1000
1.36e-05, 1000
1.37e-05, 1000
1.38e-05, 1000
1.39e-05, 1000
1.4e-05, 1000
1.41e-05, 1000
1.42e-05, 1000
1.43e-05, 1000
1.44e-05, 1000
1.45e-05, 1000
1.46e-05, 1000
1.47e-05, 1000
1.48e-05, 1000
1.49e-05, 1000
1.5e-05, 1000
1.51e-05, 1000
1.52e-05, 1000
1.53e-05, 1000
1.54e-05, 1000
1.55e-05, 1000
1.56e-05, 1000
1.57e-05, 1000
1.58e-05, 1000
1.59e-05, 1000
1.6e-05, 1000
1.61e-05, 1000
1.62e-05, 1000
1.63e-05, 1000
1.64e-05, 1000
1.65e-05, 1000
1.66e-05, 1000
1.67e-05, 1000
1.68e-05, 1000
1.69e-05, 1000
1.7e-05, 1000
1.71e-05, 1000
1.72e-05, 1000
1.73e-05, 1000
1.74e-05, 1000
1.75e-05, 1000
1.76e-05, 1000
1.77e-05, 1000
1.78e-05, 1000
1.79e-05, 1000
1.8e-05, 1000
1.81e-05, 1000
1.82e-05, 1000
1.83e-05, 1000
1.84e-05, 1000
1.85e-05, 1000
1.86e-05, 1000
1.87e-05, 1000
1.88e-05, 1000
1.89e-05, 1000
1.9e-05, 1000
1.91e-05, 1000
1.92e-05, 1000
1.93e-05, 1000
1.94e-05, 1000
1.95e-05, 1000
1.96e-05, 1000
1.97e-05, 1000
1.98e-05, 1000
1.99e-05, 1000
2e-05, 1000
2.01e-05, 1000
2.02e-05, 1000
2.03e-05, 1000
2.04e-05, 1000
2.05e-05, 1000
2.06e-05, 1000
2.07e-05, 1000
2.08e-05, 1000
2.09e-05, 1000
2.1e-05, 1000
2.11e-05, 1000
2.12e-05, 1000
2.13e-05, 1000
2.14e-05, 1000
2.15e-05, 1000
2.16e-05, 1000
2.17e-05, 1000
2.18e-05, 1000
2.19e-05, 1000
2.2e-05, 1000
2.21e-05, 1000
2.22e-05, 1000
2.23e-05, 1000
