-0.6000000000 -0.7000000000
-0.6000019739 -0.6993716856
-0.6000078956 -0.6987433960
-0.6000177648 -0.6981151560
-0.6000315811 -0.6974869905
-0.6000493440 -0.6968589241
-0.6000710527 -0.6962309817
-0.6000967065 -0.6956031882
-0.6001263043 -0.6949755682
-0.6001598450 -0.6943481466
-0.6001973272 -0.6937209480
-0.6002387494 -0.6930939974
-0.6002841100 -0.6924673194
-0.6003334072 -0.6918409388
-0.6003866391 -0.6912148803
-0.6004438035 -0.6905891687
-0.6005048983 -0.6899638285
-0.6005699210 -0.6893388846
-0.6006388689 -0.6887143615
-0.6007117395 -0.6880902840
-0.6007885299 -0.6874666766
-0.6008692369 -0.6868435641
-0.6009538574 -0.6862209709
-0.6010423881 -0.6855989217
-0.6011348255 -0.6849774411
-0.6012311659 -0.6843565535
-0.6013314056 -0.6837362835
-0.6014355405 -0.6831166555
-0.6015435665 -0.6824976941
-0.6016554795 -0.6818794236
-0.6017712749 -0.6812618685
-0.6018909483 -0.6806450532
-0.6020144948 -0.6800290019
-0.6021419096 -0.6794137391
-0.6022731876 -0.6787992890
-0.6024083238 -0.6781856759
-0.6025473127 -0.6775729239
-0.6026901489 -0.6769610573
-0.6028368267 -0.6763501003
-0.6029873404 -0.6757400769
-0.6031416839 -0.6751310113
-0.6032998512 -0.6745229274
-0.6034618361 -0.6739158494
-0.6036276322 -0.6733098011
-0.6037972328 -0.6727048064
-0.6039706314 -0.6721008894
-0.6041478211 -0.6714980738
-0.6043287948 -0.6708963833
-0.6045135455 -0.6702958418
-0.6047020658 -0.6696964730
-0.6048943484 -0.6690983006
-0.6050903855 -0.6685013480
-0.6052901695 -0.6679056390
-0.6054936925 -0.6673111970
-0.6057009464 -0.6667180455
-0.6059119231 -0.6661262080
-0.6061266142 -0.6655357077
-0.6063450113 -0.6649465680
-0.6065671058 -0.6643588121
-0.6067928888 -0.6637724633
-0.6070223514 -0.6631875447
-0.6072554847 -0.6626040794
-0.6074922793 -0.6620220904
-0.6077327260 -0.6614416008
-0.6079768153 -0.6608626333
-0.6082245374 -0.6602852109
-0.6084758827 -0.6597093564
-0.6087308413 -0.6591350925
-0.6089894029 -0.6585624419
-0.6092515575 -0.6579914272
-0.6095172948 -0.6574220708
-0.6097866041 -0.6568543954
-0.6100594748 -0.6562884233
-0.6103358963 -0.6557241769
-0.6106158576 -0.6551616784
-0.6108993476 -0.6546009500
-0.6111863551 -0.6540420139
-0.6114768689 -0.6534848922
-0.6117708774 -0.6529296068
-0.6120683690 -0.6523761796
