1.5000000000 2.0000000000
1.4999901304 2.0031415720
1.4999605221 2.0062830199
1.4999111762 2.0094242199
1.4998420946 2.0125650477
1.4997532802 2.0157053795
1.4996447363 2.0188450913
1.4995164673 2.0219840592
1.4993684783 2.0251221591
1.4992007751 2.0282592672
1.4990133642 2.0313952598
1.4988062532 2.0345300129
1.4985794501 2.0376634028
1.4983329640 2.0407953058
1.4980668046 2.0439255983
1.4977809823 2.0470541567
1.4974755085 2.0501808574
1.4971503952 2.0533055771
1.4968056553 2.0564281924
1.4964413023 2.0595485800
1.4960573507 2.0626666168
1.4956538155 2.0657821795
1.4952307128 2.0688951453
1.4947880593 2.0720053913
1.4943258724 2.0751127946
1.4938441703 2.0782172325
1.4933429721 2.0813185826
1.4928222976 2.0844167224
1.4922821673 2.0875115295
1.4917226025 2.0906028818
1.4911436254 2.0936906573
1.4905452587 2.0967747340
1.4899275262 2.0998549903
1.4892904522 2.1029313044
1.4886340618 2.1060035550
1.4879583810 2.1090716207
1.4872634364 2.1121353805
1.4865492555 2.1151947133
1.4858158665 2.1182494985
1.4850632982 2.1212996154
1.4842915806 2.1243449436
1.4835007439 2.1273853628
1.4826908194 2.1304207531
1.4818618391 2.1334509947
1.4810138358 2.1364759678
1.4801468428 2.1394955530
1.4792608945 2.1425096312
1.4783560258 2.1455180834
1.4774322724 2.1485207908
1.4764896708 2.1515176348
1.4755282581 2.1545084972
1.4745480725 2.1574932598
1.4735491525 2.1604718049
1.4725315376 2.1634440148
1.4714952679 2.1664097723
1.4704403845 2.1693689601
1.4693669288 2.1723214616
1.4682749434 2.1752671601
1.4671644712 2.1782059394
1.4660355562 2.1811376834
1.4648882429 2.1840622763
1.4637225767 2.1869796029
1.4625386034 2.1898895478
1.4613363699 2.1927919961
1.4601159237 2.1956868334
1.4588773128 2.1985739453
1.4576205863 2.2014532179
1.4563457937 2.2043245374
1.4550529853 2.2071877905
1.4537422123 2.2100428642
1.4524135262 2.2128896458
1.4510669797 2.2157280228
1.4497026258 2.2185578833
1.4483205184 2.2213791155
1.4469207121 2.2241916080
1.4455032621 2.2269952499
1.4440682244 2.2297899303
1.4426156557 2.2325755390
1.4411456132 2.2353519661
1.4396581551 2.2381191018
1.4381533400 2.2408768371
1.4366312274 2.2436250629
1.4350918773 2.2463636708
1.4335353506 2.2490925527
1.4319617086 2.2518116008
1.4303710135 2.2545207079
1.4287633281 2.2572197669
1.4271387158 2.2599086713
1.4254972409 2.2625873150
1.4238389680 2.2652555922
1.4221639628 2.2679133975
1.4204722911 2.2705606261
1.4187640200 2.2731971734
1.4170392168 2.2758229353
1.4152979496 2.2784378082
1.4135402871 2.2810416889
1.4117662988 2.2836344746
1.4099760547 2.2862160628
1.4081696254 2.2887863517
1.4063470822 2.2913452398
1.4045084972 2.2938926261
1.4026539429 2.2964284101
1.4007834924 2.2989524915
1.3988972198 2.3014647708
1.3969951993 2.3039651488
1.3950775062 2.3064535268
1.3931442161 2.3089298065
1.3911954053 2.3113938902
1.3892311508 2.3138456806
1.3872515301 2.3162850810
1.3852566214 2.3187119949
1.3832465034 2.3211263266
1.3812212555 2.3235279808
1.3791809576 2.3259168627
1.3771256904 2.3282928779
1.3750555348 2.3306559327
1.3729705727 2.3330059337
