X,temp,u,rho,X_CH4,X_CH3,X_CH2,X_CH,X_CH2O,X_HCO,X_CO2,X_CO,X_H2,X_H,X_O2,X_O,X_OH,X_HO2,X_H2O2,X_H2O,X_N2
0.0,300.0,1.0557548065563034,0.971892100756646,0.024547048509643565,1.027467589634561e-16,-1.609183545476294e-16,-4.481141938797558e-16,6.206673391018167e-18,-3.9224506515155867e-23,4.942631214057036e-17,6.50973587066244e-17,0.1718293395675014,-4.062250933047565e-16,0.16876095850379966,-1.2108954173752839e-16,-8.724135191049042e-21,-8.725672300673141e-18,-1.7142907912778596e-17,-2.132767666395067e-17,0.6348626534190562
0.00303,299.99999999998585,1.0557548065561138,0.9718921007568206,0.024547048509647337,8.65664579154526e-17,-8.604921965153915e-21,-6.8700005005562675e-22,6.2043125128264995e-18,-6.980620521952537e-21,-5.1137866819708843e-17,-4.453622136426344e-16,0.17182933956738086,-9.251549338815773e-20,0.168760958503826,-5.3436678745534e-16,-7.773458834913847e-19,-1.1829724704787436e-15,1.6032037179041505e-17,-1.162561029840264e-16,0.6348626534191479
0.007515000000000001,299.9999999999859,1.0557548065457263,0.9718921007663832,0.024547048509925878,7.186823672570309e-17,-2.9882275478792986e-25,-7.115872881938755e-28,6.204286346967566e-18,-8.726821240880152e-26,-5.114303567152165e-17,-4.45372742050216e-16,0.17182933955847712,-6.446022045355059e-21,0.16876095850564926,-4.953125208367422e-16,-2.875411725419824e-19,-1.3558789592784584e-15,7.049258976706981e-17,-1.5893143874141366e-16,0.6348626534259502
0.010505,300.00000000000864,1.0557548062019662,0.971892101082837,0.024547048519144885,6.265155296430228e-17,-1.5615709621736653e-29,-1.1128810256837433e-33,6.204280230948691e-18,-1.8205561977185424e-30,-5.1143000233144414e-17,-4.453080811884504e-16,0.17182933926376337,-6.0585760942463166e-21,0.1687609585659951,-4.694025816200966e-16,-2.6912618046150557e-19,-1.471641028495718e-15,1.0845634158579439e-16,-1.7472078208664772e-16,0.6348626536510991
0.012,300.0000000007725,1.0557548010144129,0.9718921058583228,0.024547048658304996,5.931753186141362e-17,-1.6674750923312203e-33,-3.530769918678175e-39,6.204840191256327e-18,-3.9524418164921395e-33,-5.1140662488381646e-17,-4.420455436197534e-16,0.1718293348150805,-5.402546619824788e-21,0.16876095947690972,-4.1696880563428225e-16,-2.407891085364067e-19,-1.5223887682597325e-15,1.3112874334225991e-16,3.1521050259804925e-16,0.6348626570497068
0.0129,300.0000000173768,1.0557547492443815,0.9718921535160621,0.02454705004792104,8.063225773772308e-17,-1.8599298949494648e-35,-1.957707432830106e-44,6.229213790606513e-18,1.881010946659849e-33,-5.1041173565347437e-17,-3.352894584393583e-16,0.17182929039162775,5.566146024795483e-21,0.1687609685730697,4.675097756094147e-16,2.2789276150601714e-19,-1.3686536356984602e-15,2.51735072605148e-16,1.5325543969426393e-14,0.6348626909873671
0.0138,300.0000004720836,1.0557540918465427,0.9718927586946785,0.024547067716790764,7.978086252422638e-16,1.895301155802057e-34,1.7283729415473102e-46,7.544611498825388e-18,4.917778045160204e-32,-4.5730635114568835e-17,4.052324409824802e-15,0.1718287255476556,3.0042004081895833e-19,0.16876108423035444,2.4249932803316545e-14,1.2821955655952924e-17,5.3782212477209736e-15,4.746715702192563e-15,5.795389428830295e-13,0.6348631225045804
0.01425,300.0000051984588,1.0557508839313363,0.971895711805686,0.024547154171628525,9.216260511539112e-15,2.664327029888071e-32,1.4295205022503488e-46,3.4325594060488084e-17,1.7598363664865023e-30,6.123207054990748e-17,7.222398534611866e-14,0.1718259616930997,3.335537270383635e-18,0.16876165015153882,2.6880599731065847e-13,1.422822504464238e-16,1.0072346124711737e-13,7.45797414692626e-14,8.601269552520856e-12,0.6348652339746059
0.014475000000000002,300.000030944192,1.0557422794232618,0.9719036329476674,0.024547387295099806,6.6710740832443e-14,1.139768137845008e-30,2.273816929060354e-45,3.1362652355464556e-16,9.306857239364263e-29,1.1651670923888547e-15,6.188695511301632e-13,0.17181850875931778,1.9656374943426447e-17,0.16876317616459585,1.5785797653125266e-12,8.378181201696164e-16,8.363100281889056e-13,6.358478450919927e-13,6.765427842025474e-11,0.6348709277095934
0.014700000000000001,300.0002265250314,1.0557088078133738,0.9719344474857099,0.024548303117772792,6.372068306481716e-13,8.028511630284743e-29,3.4751602626663135e-43,4.2901455828890955e-15,9.130908809615609e-27,1.6724419306441702e-14,6.6456223425506415e-12,0.17178922760863125,1.432373764367984e-16,0.16876917125852303,1.1335247326657677e-11,6.170195399318943e-15,8.813753802178863e-12,6.8382086220874185e-12,6.670645842282403e-10,0.6348932973137109
