y/D,T,rmsT,O2,rmsO2,N2,rmsN2,H2O,rmsH2O,H2,rmsH2,OH,rmsOH,f,rmsf
-12.27,469.6,210,0.1839,0.0119,0.7912,0.037,0.0229,0.006,0,0,0,0,0,0
-11.62,510.4,227.5,0.1858,0.0131,0.7868,0.038,0.0254,0.0082,0,0.0001,0,0,0,0
-10.98,547.6,237.1,0.1889,0.0135,0.7812,0.0377,0.0279,0.0091,0,0,0,0,0,0
-10.33,609.1,249.2,0.1907,0.0139,0.7762,0.0377,0.031,0.0097,0.0001,0,0,0.0003,0,0
-9.69,698.5,237.8,0.1913,0.0133,0.7707,0.0383,0.0361,0.0127,0,0,0,0,0,0
-9.04,763.8,215.9,0.1928,0.0132,0.7628,0.0387,0.0423,0.0155,0,0,0,0,0,0
-8.39,810.1,202.5,0.1929,0.013,0.7571,0.0388,0.048,0.0173,0,0,0,0,0,0
-7.75,871.8,168.3,0.1918,0.013,0.7509,0.0396,0.0553,0.0199,0,0,0,0,0,0
-7.1,928,144.9,0.1916,0.0133,0.7421,0.0405,0.0644,0.0222,0,0,0,0,0,0
-6.46,990.2,144.3,0.1909,0.0139,0.7289,0.041,0.0781,0.0255,0,0,0,0,0,0
-5.81,1062.7,155.4,0.1885,0.0147,0.7152,0.0422,0.0943,0.0312,0,0,0,0.0002,0,0.00007
-5.17,1146.3,156.7,0.1846,0.0152,0.7008,0.044,0.1126,0.0346,0,0,0,0.0001,0,0
-4.52,1238,156.4,0.1801,0.0153,0.6809,0.0454,0.1369,0.0372,0,0,0,0.0003,0,0
-3.87,1328.8,170.6,0.1752,0.0179,0.6605,0.0487,0.1633,0.0426,0.0002,0.0042,0.0003,0.0012,0.00006,0.00097
-3.23,1424.7,197.4,0.1649,0.0261,0.6371,0.0519,0.1928,0.0506,0.0024,0.0185,0.0008,0.0025,0.00055,0.00319
-2.58,1533.9,210.1,0.1505,0.0377,0.6104,0.0626,0.2227,0.0581,0.0137,0.0553,0.0019,0.0041,0.00258,0.00859
-1.94,1683.4,290,0.1392,0.0599,0.5094,0.076,0.298,0.0615,0.046,0.0819,0.0054,0.0076,0.01383,0.01198
-1.29,1824,342.4,0.1043,0.0625,0.458,0.0811,0.3522,0.0655,0.0751,0.1103,0.0097,0.0094,0.02338,0.01537
-0.65,2069.3,403.3,0.0561,0.0654,0.3985,0.0941,0.3656,0.0704,0.1614,0.1193,0.0163,0.0113,0.03916,0.01841
0,2214.1,371.7,0.0337,0.0715,0.3841,0.1085,0.3801,0.0796,0.2008,0.1268,0.0206,0.0125,0.04593,0.02087
0.65,2303.8,433.4,0.043,0.0665,0.3771,0.0999,0.3921,0.0876,0.1597,0.1166,0.0262,0.0139,0.0436,0.01676
1.29,2161.8,372.8,0.0872,0.0625,0.4763,0.0779,0.3936,0.0851,0.0503,0.0513,0.0219,0.0111,0.01922,0.01265
1.94,1891.7,336.8,0.1411,0.0618,0.5072,0.057,0.3375,0.0775,0.0023,0.0164,0.0099,0.01,0.01037,0.00829
2.58,1679.7,264,0.151,0.0437,0.6053,0.0501,0.2808,0.0625,0.0015,0.0157,0.003,0.0061,0.00503,0.00598
3.23,1547.2,235.4,0.1608,0.0275,0.6324,0.0451,0.2038,0.0443,0.0001,0.0022,0.0009,0.0022,0.00012,0.00103
3.87,1417,197.3,0.1739,0.0198,0.6532,0.0446,0.172,0.0406,0,0,0.0003,0.0009,0.00003,0.00048
52,1300.7,178.6,0.1808,0.0178,0.6716,0.044,0.1455,0.0384,0,0,0.0001,0.0003,0,0
5.17,1207.2,165.1,0.1862,0.0152,0.6867,0.0432,0.1266,0.0362,0,0,0,0.0002,0,0
5.81,1127.4,163.1,0.1891,0.0155,0.702,0.042,0.1068,0.0305,0.0001,0.0001,0,0.0005,0,0
6.46,1060.4,145.3,0.1913,0.0148,0.717,0.0415,0.091,0.029,0.0002,0,0,0,0.00001,0.00035
7.1,993,154.5,0.1923,0.0142,0.7282,0.0413,0.0776,0.0249,0,0,0,0,0,0
7.75,939.4,165.1,0.1923,0.0135,0.7402,0.0408,0.0669,0.0228,0.0001,0.0003,0,0,0,0
8.39,883.5,177.2,0.1916,0.013,0.748,0.0404,0.0584,0.0189,0,0,0,0,0,0
9.04,828.4,187,0.19,0.0134,0.7576,0.0402,0.0504,0.0168,0,0,0,0,0,0
9.69,778,208.1,0.1887,0.0135,0.7663,0.0396,0.043,0.014,0,0,0,0,0,0
10.33,717.2,229.5,0.1882,0.0129,0.7711,0.0389,0.0387,0.0128,0,0,0,0,0,0
10.98,653.8,239.9,0.1898,0.0127,0.7738,0.0381,0.0344,0.0114,0,0,0,0,0,0
11.62,596,240.5,0.1887,0.0124,0.7806,0.0378,0.0302,0.0093,0,0,0,0,0,0
12.27,536.4,231.5,0.1855,0.0123,0.7857,0.0375,0.0267,0.0075,0,0,0,0,0,0
