Bouheraoua,,Boivin,,Moule,
y/D,T,y/D,T,y/D,T
-8.949671423,289.3299384,-7.953002284,277.8518733,-8.406033711,307.5035416
-8.156866426,277.8518733,-6.870943636,295.583048,-7.584105265,299.9881418
-6.797772146,295.8515663,-5.783274983,336.1085175,-6.86572686,295.068971
-6.050270291,285.6778268,-4.886545813,512.4348296,-5.719294474,295.583048
-5.280116865,316.3033915,-4.35140244,695.9813892,-4.453334511,363.9373618
-4.628448582,417.2735761,-3.603900586,978.013847,-3.977651513,549.7385414
-4.127151884,615.8501469,-2.978717217,1190.96718,-3.739810014,717.8443705
-3.807764728,844.0575392,-1.456531622,1235.122506,-3.5767187,1019.006634
-3.394809158,1046.554293,-0.364725883,1023.926108,-3.289610033,1301.709995
-2.844406723,1208.057422,0.367674923,1045.925732,-2.448670447,1321.638422
-2.108896877,1327.513477,1.350551768,1292.509596,-1.497304451,1297.964913
-1.361395023,1334.668635,3.191570818,1154.202147,-1.021621452,1149.725702
-0.681847882,1165.614627,3.871117958,793.6761208,-0.647870525,976.1008362
-0.091164599,977.0513625,4.278846242,600.3035176,0.278012453,843.8639607
0.629678099,1095.664015,4.856461312,427.6406234,0.745201112,1007.856816
1.017019969,1318.939711,5.547334238,312.2860687,1.152929397,1252.339604
1.764521823,1351.684494,6.079646164,277.8518733,2.274182178,1341.007657
2.512023677,1306.964759,6.820885286,271.2677664,3.157593461,1296.177913
3.259525532,1237.537372,7.690172887,277.8518733,3.531344388,980.0635015
3.923083328,981.0907249,,,3.701231173,728.3317693
4.133703908,781.8886814,,,4.108959457,471.7594363
4.461251001,609.7708522,,,4.734142826,349.3028288
5.175848468,434.2104452,,,5.37971261,322.6163273
5.72680438,366.5277491,,,6.277050959,319.8983297
6.521351806,314.4394588,,,7.108797576,311.7932358
7.26885366,310.4241783,,,7.863457408,315.5142745
7.919277351,303.6775198,,,8.576981905,312.2860687
8.899766797,286.823591,,,,
