Bouheraoua,,Boivin,,Moule,
X,Y,X,Y,X,Y
-8.62394075,481.8377406,-8.108974359,450.8393285,-8.30621378,451.2732551
-7.806928541,553.1548735,-6.97856894,532.7785498,-7.572415777,514.6662621
-6.921831982,661.1493889,-6.087798685,644.84833,-6.762968497,602.9636647
-6.172904124,765.0686396,-5.30293742,764.842236,-6.051865278,707.109319
-5.355891915,884.997859,-4.511645966,950.493185,-5.294615999,827.2164268
-4.709090583,998.8869537,-3.789951848,1155.49135,-4.470795356,951.4193816
-3.772930761,1183.733978,-3.143150517,1352.925577,-3.729432426,1071.619109
-2.987529143,1362.433187,-2.564433535,1609.812801,-2.988069495,1167.840638
-2.224011782,1595.229728,-2.10145995,1821.241416,-2.208881926,1273.11831
-1.475083924,1762.231883,-1.645294801,2049.96565,-1.49021378,1419.148629
-0.801048852,1839.336088,-0.998493469,2262.913669,-0.703461282,1530.086392
0.022771792,1857.239588,-0.224033979,2330.989114,0.03979288,1509.568566
1.044037053,1799.021521,0.465320072,2216.372293,0.832219073,1473.485493
2.102005619,1603.95728,1.009994877,2013.797675,1.611406642,1387.452126
2.988223512,1343.303425,1.588711859,1768.748126,2.405724067,1257.064237
3.958047264,1151.122703,2.065302314,1526.172844,3.154651925,1112.577578
4.618465466,1012.895676,2.575934944,1328.728693,3.924005088,974.9447734
5.401435499,880.6315039,3.146141381,1113.503774,4.629812858,862.1957825
6.218447708,762.7399169,3.917196653,907.7029053,5.386305643,735.4097685
7.035459916,656.4919435,4.791920869,755.6491687,6.099300094,597.7280815
7.81842995,565.0410623,5.744493611,625.5818289,6.924822846,568.4371162
8.669484334,464.8574709,6.721344896,518.2240329,7.670913856,528.2504779
9.384370016,410.5206078,7.884979669,433.2119992,8.359322291,511.2702082
,,8.958842824,376.1355616,8.873737386,475.0456328
